Global Day,Week,Day (1=Mon..7=Sun),Coding Task,System Design Task,Infra Task,Behavioral Task,Done Coding,Done SD,Done Infra,Done Behavioral,Notes
1,1,1,"Two Sum (#1), Valid Anagram (#242), Group Anagrams (#49)",Read Alex Xu 'URL Shortener',"top, ps aux, htop comparison",STAR: most challenging project,False,False,False,False,
2,1,2,"Longest Substring w/o Repeat (#3), Valid Palindrome (#125), Encode/Decode (#271)",Draw URL shortener diagram,strace a process; note syscalls,STAR: critical production issue,False,False,False,False,
3,1,3,"Product Except Self (#238), Max Subarray (#53)",DB schema + short code strategy,netstat -tulnp; identify listeners,STAR: mentoring a junior,False,False,False,False,
4,1,4,"Merge Intervals (#56), Insert Interval (#57)","Scaling: replication, caching, sharding","df -h, du -sh; find disk hotspots",STAR: tradeoff decision,False,False,False,False,
5,1,5,"Top K Frequent (#347), Valid Parentheses (#20)",Rate limiting options,/proc tour; map pid -> files,Review Week 1 STARs,False,False,False,False,
6,1,6,"Daily Temperatures (#739), Min Stack (#155)",Mock: URL shortener,grep/awk/sed on logs,Practice 1 STAR aloud,False,False,False,False,
7,1,7,Review set,SD review,Practice all commands,Weekly reflection,False,False,False,False,
8,2,1,"Best Time to Buy (#121), Longest Repeating Char Replace (#424)",Read 'Dropbox',dig & nslookup 3 domains,STAR: disagreement,False,False,False,False,
9,2,2,"Min Window Substring (#76), Permutation in String (#567)",Dropbox architecture: sync model,openssl s_client cert & chain,Review stories,False,False,False,False,
10,2,3,"Subarray Sum=K (#560), Longest K Distinct (#340)",Metadata store + chunking,tcpdump: capture handshake,STAR: outage leadership,False,False,False,False,
11,2,4,"Find All Anagrams (#438), Sliding Window Max (#239)",Conflict resolution (CRDT vs LWW),Explain TCP 3-way handshake,Practice STAR,False,False,False,False,
12,2,5,"Move Zeroes (#283), Container With Most Water (#11)",Scaling: LB + CDN,ping + traceroute; compare hops,Weekly story review,False,False,False,False,
13,2,6,Timed set,Mock Dropbox,Diagnose mock network issue,Mock story,False,False,False,False,
14,2,7,Weekly review,Weekly review,Networking recap,Weekly reflection,False,False,False,False,
15,3,1,Binary search drills; rotated array,Read 'Slack'; delivery guarantees,Docker hello-world; build a tiny app,STAR: performance,False,False,False,False,
16,3,2,Median of arrays; kth largest,Presence + pub/sub,docker ps/exec; multi-container (compose),Practice,False,False,False,False,
17,3,3,2D matrix; min in rotated array,"Sharding, queues",Docker networking basics,Review,False,False,False,False,
18,3,4,Time-based KV; partition problems,Fault tolerance & retries,Push image to registry,Cross-team,False,False,False,False,
19,3,5,Timed set (1H+1M),Mock Slack design,Lab recap,Mock STAR,False,False,False,False,
20,3,6,Weekly review,Weekly review,Weekly recap,Reflect,False,False,False,False,
21,3,7,Review weak problems,SD review,Lab recap,Weekly reflection,False,False,False,False,
22,4,1,"Tree depth, same tree",Read 'Metrics Collector',Install minikube/kind,Incident triage,False,False,False,False,
23,4,2,"Level order, islands",Ingestion pipeline,kubectl get/describe,Practice,False,False,False,False,
24,4,3,"Validate BST, subtree",Time-series schema,Create Pod+Service,Review,False,False,False,False,
25,4,4,"Clone graph, course schedule",Alerting design,kubectl logs/exec,On-call,False,False,False,False,
26,4,5,"Course schedule II, pacific atlantic",Scrape targets + federation,Deployments + rollout,Review,False,False,False,False,
27,4,6,Timed set,Mock Prometheus,NodePort expose + test,Mock STAR,False,False,False,False,
28,4,7,Weekly review,Review,K8s recap,Reflect,False,False,False,False,
29,5,1,"TopK, kth largest",Read 'Job Scheduler',AWS EC2 basics,Cost optimization,False,False,False,False,
30,5,2,"Merge K lists, median stream",Scheduling algorithms,S3 basics,Practice,False,False,False,False,
31,5,3,"IPO, task scheduler",Cron-like triggers,IAM basics,Review,False,False,False,False,
32,5,4,"K pairs, sliding window median",Retries/backoff,EC2 SSH,Security improvement,False,False,False,False,
33,5,5,"Sliding window max, topK words",Backpressure,S3 lifecycle,Review,False,False,False,False,
34,5,6,Timed set,Mock Scheduler,IAM least privilege,Mock STAR,False,False,False,False,
35,5,7,Weekly review,Review,AWS recap,Reflect,False,False,False,False,
36,6,1,"Permutations, combination sum",Read 'Notification Service',Helm basics,Process improvement,False,False,False,False,
37,6,2,"Subsets, palindrome partition",Push vs pull,Package & deploy chart,Practice,False,False,False,False,
38,6,3,"Gen parentheses, N-Queens",Multi-channel design,Kustomize overlays,Review,False,False,False,False,
39,6,4,"Sudoku, word search",Fanout + retries,ConfigMaps & Secrets,Mentoring,False,False,False,False,
40,6,5,Timed set,Mock Notification,Secret rotation,Review,False,False,False,False,
41,6,6,Weekly review,Review,Helm/Kustomize recap,Reflect,False,False,False,False,
42,6,7,Rest,Rest,Rest,Rest,False,False,False,False,
43,7,1,"Climbing stairs, house robber",Read 'Search System',K8s controllers 101,Large-scale migration,False,False,False,False,
44,7,2,"Coin change, LIS",Indexing/sharding,Create a CRD,Practice,False,False,False,False,
45,7,3,"LCS, edit distance",Query parsing,Operator SDK scaffold,Review,False,False,False,False,
46,7,4,"Max subarray (DP), interleaving",Replication/failover,Simple reconcile loop,Innovation,False,False,False,False,
47,7,5,Timed set,Mock Search,Finalizers & reconcile,Review,False,False,False,False,
48,7,6,Weekly review,Review,Controllers recap,Reflect,False,False,False,False,
49,7,7,Rest,Rest,Rest,Rest,False,False,False,False,
50,8,1,"Trap rain water, min window",Read 'Video Streaming',Prometheus metrics,Customer impact,False,False,False,False,
51,8,2,"Median stream, serialize tree",CDN + ABR,Grafana dashboard,Practice,False,False,False,False,
52,8,3,"2D trapping, max path sum","Segment retries, multi-CDN",OpenTelemetry tracing,Review,False,False,False,False,
53,8,4,Timed hard set,Mock Video Streaming,Logs pipeline,Stakeholder mgmt,False,False,False,False,
54,8,5,Review,Review,Observability recap,Reflect,False,False,False,False,
55,8,6,Rest,Rest,Rest,Rest,False,False,False,False,
56,8,7,Rest,Rest,Rest,Rest,False,False,False,False,
57,9,1,Timed set,Read 'Rate Limiter',SLO/SLI/SLA,Risk management,False,False,False,False,
58,9,2,Timed set,Token vs leaky; API/global,Write SLO doc,Practice,False,False,False,False,
59,9,3,Timed set,Distributed limits,Error budgets & policy,Review,False,False,False,False,
60,9,4,Timed set,Mock Rate Limiter,Incident drill & postmortem,Postmortem leadership,False,False,False,False,
61,9,5,Review,Review,Reliability recap,Reflect,False,False,False,False,
62,9,6,Rest,Rest,Rest,Rest,False,False,False,False,
63,9,7,Rest,Rest,Rest,Rest,False,False,False,False,
64,10,1,Weak area drill,Read 'CI/CD System',IAM best practices,Culture change,False,False,False,False,
65,10,2,Weak area drill,Pipeline stages,Vault basics,Practice,False,False,False,False,
66,10,3,Weak area drill,Scaling runners & caching,Secret rotation,Review,False,False,False,False,
67,10,4,Mock: coding + SD,Mock CI/CD,Mock security incident,Conflict resolution,False,False,False,False,
68,10,5,Review,Review,Review,Review,False,False,False,False,
69,10,6,Final mock loop,Final mock loop,Final mock loop,Final mock loop,False,False,False,False,
70,10,7,Light review & rest,Light review & rest,Light review & rest,Light review & rest,False,False,False,False,
